Result_Date,Positives,Positive_Rate
2/1/20,0,0.00
2/2/20,0,0.00
2/3/20,0,0.00
2/4/20,0,0.00
2/5/20,0,0.00
2/6/20,0,0.00
2/7/20,0,0.00
2/8/20,0,0.00
2/9/20,0,0.00
2/10/20,0,0.00
2/11/20,0,0.00
2/12/20,0,0.00
2/13/20,0,0.00
2/14/20,0,0.00
2/15/20,0,0.00
2/16/20,0,0.00
2/17/20,0,0.00
2/18/20,0,0.00
2/19/20,0,0.00
2/20/20,0,0.00
2/21/20,0,0.00
2/22/20,0,0.00
2/23/20,0,0.00
2/24/20,0,0.00
2/25/20,0,0.00
2/26/20,0,0.00
2/27/20,0,0.00
2/28/20,4,0.18
2/29/20,2,0.09
3/1/20,8,0.36
3/2/20,8,0.36
3/3/20,11,0.49
3/4/20,14,0.63
3/5/20,8,0.36
3/6/20,13,0.58
3/7/20,19,0.85
3/8/20,64,2.87
3/9/20,40,1.80
3/10/20,31,1.39
3/11/20,63,2.83
3/12/20,56,2.52
3/13/20,57,2.56
3/14/20,86,3.86
3/15/20,64,2.87
3/16/20,65,2.92
3/17/20,84,3.77
3/18/20,95,4.27
3/19/20,87,3.91
3/20/20,126,5.66
3/21/20,142,6.38
3/22/20,90,4.04
3/23/20,126,5.66
3/24/20,144,6.47
3/25/20,194,8.71
3/26/20,203,9.12
3/27/20,209,9.39
3/28/20,210,9.43
3/29/20,177,7.95
3/30/20,181,8.13
3/31/20,169,7.59
4/1/20,231,10.38
4/2/20,188,8.44
4/3/20,192,8.62
4/4/20,179,8.04
4/5/20,149,6.69
4/6/20,124,5.57
4/7/20,113,5.08
4/8/20,170,7.64
4/9/20,165,7.41
4/10/20,152,6.83
4/11/20,113,5.08
4/12/20,104,4.67
4/13/20,92,4.13
4/14/20,97,4.36
4/15/20,126,5.66
4/16/20,163,7.32
4/17/20,119,5.35
4/18/20,114,5.12
4/19/20,82,3.68
4/20/20,87,3.91
4/21/20,94,4.22
4/22/20,113,5.08
4/23/20,93,4.18
4/24/20,91,4.09
4/25/20,94,4.22
4/26/20,93,4.18
4/27/20,55,2.47
4/28/20,103,4.63
4/29/20,99,4.45
4/30/20,86,3.86
5/1/20,95,4.27
5/2/20,84,3.77
5/3/20,89,4.00
5/4/20,61,2.74
5/5/20,76,3.41
5/6/20,117,5.26
5/7/20,69,3.10
5/8/20,84,3.77
5/9/20,78,3.50
5/10/20,57,2.56
5/11/20,58,2.61
5/12/20,41,1.84
5/13/20,74,3.32
5/14/20,81,3.64
5/15/20,103,4.63
5/16/20,51,2.29
5/17/20,36,1.62
5/18/20,44,1.98
5/19/20,46,2.07
5/20/20,33,1.48
5/21/20,80,3.59
5/22/20,72,3.23
5/23/20,43,1.93
5/24/20,22,0.99
5/25/20,16,0.72
5/26/20,43,1.93
5/27/20,63,2.83
5/28/20,44,1.98
5/29/20,54,2.43
5/30/20,85,3.82
5/31/20,28,1.26
6/1/20,34,1.53
6/2/20,51,2.29
6/3/20,45,2.02
6/4/20,61,2.74
6/5/20,66,2.96
6/6/20,26,1.17
6/7/20,34,1.53
6/8/20,26,1.17
6/9/20,34,1.53
6/10/20,41,1.84
6/11/20,56,2.52
6/12/20,43,1.93
6/13/20,42,1.89
6/14/20,49,2.20
6/15/20,55,2.47
6/16/20,52,2.34
6/17/20,80,3.59
6/18/20,91,4.09
6/19/20,75,3.37
6/20/20,69,3.10
6/21/20,70,3.14
6/22/20,62,2.78
6/23/20,116,5.21
6/24/20,110,4.94
6/25/20,102,4.58
6/26/20,182,8.17
6/27/20,115,5.17
6/28/20,114,5.12
6/29/20,110,4.94
6/30/20,196,8.80
7/1/20,208,9.34
7/2/20,155,6.96
7/3/20,188,8.44
7/4/20,176,7.91
7/5/20,91,4.09
7/6/20,88,3.95
7/7/20,152,6.83
7/8/20,180,8.09
7/9/20,169,7.59
7/10/20,155,6.96
7/11/20,163,7.32
7/12/20,146,6.56
7/13/20,144,6.47
7/14/20,172,7.73
7/15/20,205,9.21
7/16/20,202,9.07
7/17/20,206,9.25
7/18/20,169,7.59
7/19/20,168,7.55
7/20/20,185,8.31
7/21/20,164,7.37
7/22/20,221,9.93
7/23/20,235,10.56
7/24/20,183,8.22
7/25/20,206,9.25
7/26/20,135,6.06
7/27/20,132,5.93
7/28/20,147,6.60
7/29/20,204,9.16
7/30/20,208,9.34
7/31/20,131,5.88
8/1/20,140,6.29
8/2/20,98,4.40
8/3/20,123,5.52
8/4/20,107,4.81
8/5/20,199,8.94
8/6/20,114,5.12
8/7/20,211,9.48
8/8/20,152,6.83
8/9/20,122,5.48
8/10/20,80,3.59
8/11/20,137,6.15
8/12/20,191,8.58
8/13/20,141,6.33
8/14/20,195,8.76
8/15/20,113,5.08
8/16/20,121,5.44
8/17/20,105,4.72
8/18/20,103,4.63
8/19/20,160,7.19
8/20/20,144,6.47
8/21/20,131,5.88
8/22/20,111,4.99
8/23/20,107,4.81
8/24/20,49,2.20
8/25/20,113,5.08
8/26/20,127,5.70
8/27/20,181,8.13
8/28/20,130,5.84
8/29/20,123,5.52
8/30/20,74,3.32
8/31/20,44,1.98
9/1/20,79,3.55
9/2/20,121,5.44
9/3/20,150,6.74
9/4/20,99,4.45
9/5/20,100,4.49
9/6/20,73,3.28
9/7/20,33,1.48
9/8/20,62,2.78
9/9/20,122,5.48
9/10/20,116,5.21
9/11/20,99,4.45
9/12/20,79,3.55
9/13/20,52,2.34
9/14/20,60,2.70
9/15/20,70,3.14
9/16/20,91,4.09
9/17/20,99,4.45
9/18/20,86,3.86
9/19/20,88,3.95
9/20/20,56,2.52
9/21/20,43,1.93
9/22/20,78,3.50
9/23/20,121,5.44
9/24/20,110,4.94
9/25/20,126,5.66
9/26/20,108,4.85
9/27/20,80,3.59
9/28/20,65,2.92
9/29/20,154,6.92
9/30/20,199,8.94
10/1/20,193,8.67
10/2/20,180,8.09
10/3/20,120,5.39
10/4/20,127,5.70
10/5/20,89,4.00
10/6/20,135,6.06
10/7/20,183,8.22
10/8/20,208,9.34
10/9/20,170,7.64
10/10/20,156,7.01
10/11/20,82,3.68
10/12/20,115,5.17
10/13/20,189,8.49
10/14/20,152,6.83
10/15/20,188,8.44
10/16/20,209,9.39
10/17/20,158,7.10
10/18/20,113,5.08
10/19/20,79,3.55
10/20/20,186,8.35
10/21/20,227,10.20
10/22/20,262,11.77
10/23/20,216,9.70
10/24/20,202,9.07
10/25/20,159,7.14
10/26/20,111,4.99
10/27/20,284,12.76
10/28/20,288,12.94
10/29/20,422,18.96
10/30/20,295,13.25
10/31/20,279,12.53
11/1/20,295,13.25
11/2/20,144,6.47
11/3/20,376,16.89
11/4/20,470,21.11
11/5/20,557,25.02
11/6/20,531,23.85
11/7/20,486,21.83
11/8/20,323,14.51
11/9/20,340,15.27
11/10/20,467,20.98
11/11/20,727,32.66
11/12/20,698,31.35
11/13/20,742,33.33
11/14/20,588,26.41
11/15/20,537,24.12
11/16/20,529,23.76
11/17/20,644,28.93
11/18/20,760,34.14
11/19/20,890,39.98
11/20/20,791,35.53
11/21/20,829,37.24
11/22/20,604,27.13
11/23/20,531,23.85
11/24/20,798,35.84
11/25/20,705,31.67
11/26/20,791,35.53
11/27/20,492,22.10
11/28/20,509,22.86
11/29/20,622,27.94
11/30/20,750,33.69
12/1/20,617,27.71
12/2/20,967,43.44
12/3/20,790,35.48
12/4/20,905,40.65
12/5/20,744,33.42
12/6/20,545,24.48
12/7/20,682,30.63
12/8/20,827,37.15
12/9/20,816,36.65
12/10/20,714,32.07
12/11/20,708,31.80
12/12/20,582,26.14
12/13/20,574,25.78
12/14/20,314,14.10
12/15/20,591,26.55
12/16/20,621,27.89
12/17/20,707,31.76
12/18/20,647,29.06
12/19/20,539,24.21
12/20/20,425,19.09
12/21/20,228,10.24
12/22/20,621,27.89
12/23/20,598,26.86
12/24/20,564,25.33
12/25/20,234,10.51
12/26/20,173,7.77
12/27/20,418,18.78
12/28/20,317,14.24
12/29/20,699,31.40
12/30/20,702,31.53
12/31/20,714,32.07
1/1/21,475,21.34
1/2/21,286,12.85
1/3/21,582,26.14
1/4/21,287,12.89
1/5/21,787,35.35
1/6/21,766,34.41
1/7/21,727,32.66
1/8/21,670,30.09
1/9/21,549,24.66
1/10/21,449,20.17
1/11/21,206,9.25
1/12/21,547,24.57
1/13/21,549,24.66
1/14/21,551,24.75
1/15/21,413,18.55
1/16/21,427,19.18
1/17/21,318,14.28
1/18/21,119,5.35
1/19/21,371,16.66
1/20/21,491,22.05
1/21/21,400,17.97
1/22/21,384,17.25
1/23/21,281,12.62
1/24/21,263,11.81
1/25/21,149,6.69
1/26/21,361,16.22
1/27/21,351,15.77
1/28/21,289,12.98
1/29/21,348,15.63
1/30/21,259,11.63
1/31/21,226,10.15
2/1/21,154,6.92
2/2/21,279,12.53
2/3/21,335,15.05
2/4/21,295,13.25
2/5/21,231,10.38
2/6/21,198,8.89
2/7/21,173,7.77
2/8/21,120,5.39
2/9/21,234,10.51
2/10/21,266,11.95
2/11/21,176,7.91
2/12/21,211,9.48
2/13/21,134,6.02
2/14/21,61,2.74
2/15/21,48,2.16
2/16/21,147,6.60
2/17/21,201,9.03
2/18/21,186,8.35
2/19/21,193,8.67
2/20/21,104,4.67
2/21/21,115,5.17
2/22/21,64,2.87
2/23/21,103,4.63